movie,popcorn,name,age,drink,times,snacks,payments
웡카,구매 안함,류지원,20,아메리카노,일반,나초,삼성 페이
웡카,일반,박지원,30,물,조조,맛밤,삼성 페이
웡카,구매 안함,김예준,50,아메리카노,심야,구매 안함,신용 카드
시민 덕희,구매 안함,백민석,40,콜라,일반,구매 안함,신용 카드
외계인,치즈,박재호,30,물,일반,나초,삼성 페이
웡카,치즈,김주원,40,사이다,일반,구매 안함,신용 카드
웡카,구매 안함,최성민,20,제로 콜라,일반,핫도그,체크 카드
너의 이름은,치즈,김은정,20,에이드,일반,구매 안함,삼성 페이
너의 이름은,구매 안함,이현우,20,구매 안함,일반,구매 안함,신용 카드
웡카,일반,장은영,50,구매 안함,심야,구매 안함,신용 카드
너의 이름은,구매 안함,김민석,20,구매 안함,조조,맛밤,삼성 페이
웡카,구매 안함,이정훈,30,환타,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,이지원,40,구매 안함,일반,구매 안함,삼성 페이
웡카,어니언,임은지,30,물,조조,구매 안함,삼성 페이
시민 덕희,치즈,이영호,30,환타,일반,핫도그,신용 카드
웡카,어니언,한미숙,20,아메리카노,조조,구매 안함,현금
웡카,일반,박현주,50,환타,조조,구매 안함,삼성 페이
외계인,치즈,김정숙,30,환타,심야,맛밤,삼성 페이
시민 덕희,구매 안함,박승현,30,환타,조조,구매 안함,체크 카드
웡카,일반,김수진,20,콜라,일반,맛밤,신용 카드
시민 덕희,구매 안함,김은주,50,물,일반,구매 안함,삼성 페이
도그맨,치즈,김민서,20,아메리카노,일반,구매 안함,삼성 페이
웡카,치즈,이현준,40,콜라,심야,구매 안함,카카오 페이
시민 덕희,일반,한미숙,30,사이다,심야,핫도그,신용 카드
너의 이름은,일반,이예원,30,물,조조,오징어,신용 카드
웡카,일반,권영일,20,콜라,일반,나초,현금
위시,치즈,이보람,30,에이드,일반,구매 안함,삼성 페이
웡카,구매 안함,허지민,50,제로 콜라,일반,나초,신용 카드
외계인,구매 안함,이영길,20,콜라,일반,나초,신용 카드
위시,구매 안함,김영수,30,콜라,일반,나초,신용 카드
웡카,구매 안함,이재호,30,구매 안함,심야,나초,삼성 페이
외계인,일반,안성호,30,에이드,조조,나초,삼성 페이
웡카,치즈,오현우,30,물,일반,핫도그,삼성 페이
위시,구매 안함,김윤서,30,콜라,조조,핫도그,삼성 페이
웡카,치즈,김영숙,30,환타,심야,오징어,체크 카드
너의 이름은,구매 안함,이지아,20,사이다,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,장영철,20,에이드,일반,구매 안함,신용 카드
시민 덕희,구매 안함,문은경,20,제로 콜라,조조,핫도그,신용 카드
너의 이름은,치즈,류영식,20,제로 콜라,심야,구매 안함,삼성 페이
도그맨,일반,김현지,40,구매 안함,심야,구매 안함,신용 카드
웡카,일반,이민준,20,구매 안함,조조,구매 안함,삼성 페이
시민 덕희,구매 안함,배도현,40,에이드,일반,구매 안함,삼성 페이
웡카,일반,황지아,30,제로 콜라,심야,구매 안함,신용 카드
너의 이름은,어니언,오명자,20,아메리카노,일반,구매 안함,신용 카드
너의 이름은,카라멜,양동현,20,물,일반,구매 안함,신용 카드
시민 덕희,구매 안함,손경희,20,콜라,일반,구매 안함,신용 카드
웡카,어니언,최지영,40,물,일반,구매 안함,현금
위시,구매 안함,김현숙,40,아메리카노,일반,구매 안함,신용 카드
시민 덕희,일반,이수빈,30,물,심야,핫도그,신용 카드
웡카,일반,이경자,20,콜라,심야,구매 안함,삼성 페이
웡카,구매 안함,안민준,30,사이다,심야,구매 안함,신용 카드
웡카,카라멜,신미영,20,물,일반,구매 안함,신용 카드
시민 덕희,치즈,김경수,30,제로 콜라,심야,나초,신용 카드
웡카,구매 안함,이준혁,50,제로 콜라,일반,핫도그,삼성 페이
웡카,일반,장예진,30,구매 안함,일반,구매 안함,신용 카드
시민 덕희,구매 안함,김준서,20,제로 콜라,조조,구매 안함,신용 카드
시민 덕희,일반,차현우,60,제로 콜라,일반,구매 안함,신용 카드
시민 덕희,일반,김지영,30,아메리카노,일반,나초,체크 카드
웡카,구매 안함,오정순,50,아메리카노,일반,구매 안함,신용 카드
시민 덕희,일반,조준호,30,콜라,일반,구매 안함,신용 카드
웡카,구매 안함,홍민재,40,구매 안함,조조,구매 안함,신용 카드
웡카,구매 안함,곽영철,30,물,일반,핫도그,신용 카드
외계인,치즈,김채원,30,제로 콜라,일반,핫도그,신용 카드
시민 덕희,일반,송서준,30,물,심야,구매 안함,삼성 페이
시민 덕희,치즈,김은영,30,사이다,일반,핫도그,신용 카드
웡카,구매 안함,김영철,20,콜라,조조,핫도그,신용 카드
위시,치즈,최선영,50,물,일반,나초,삼성 페이
도그맨,구매 안함,전정희,50,에이드,일반,나초,신용 카드
시민 덕희,구매 안함,이동현,60,아메리카노,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,김정숙,20,환타,일반,구매 안함,신용 카드
시민 덕희,일반,이현준,30,구매 안함,조조,나초,신용 카드
너의 이름은,구매 안함,강승민,50,제로 콜라,일반,구매 안함,삼성 페이
웡카,카라멜,윤지현,40,제로 콜라,조조,구매 안함,삼성 페이
외계인,구매 안함,김은영,30,콜라,일반,구매 안함,삼성 페이
너의 이름은,치즈,김은정,30,물,일반,구매 안함,삼성 페이
웡카,치즈,권지훈,20,에이드,일반,구매 안함,삼성 페이
웡카,일반,송보람,20,제로 콜라,일반,구매 안함,신용 카드
시민 덕희,어니언,손지혜,20,환타,일반,구매 안함,현금
웡카,구매 안함,김동현,30,에이드,일반,핫도그,신용 카드
외계인,일반,김영미,20,물,일반,핫도그,체크 카드
웡카,치즈,우경수,30,제로 콜라,일반,구매 안함,카카오 페이
웡카,일반,최예준,50,에이드,일반,핫도그,신용 카드
웡카,어니언,김민재,30,아메리카노,일반,오징어,삼성 페이
너의 이름은,구매 안함,김성수,20,콜라,일반,구매 안함,신용 카드
웡카,어니언,안성현,50,사이다,조조,구매 안함,삼성 페이
시민 덕희,일반,김미영,30,환타,일반,구매 안함,삼성 페이
외계인,일반,김영일,50,아메리카노,일반,나초,체크 카드
외계인,일반,최수민,20,에이드,일반,구매 안함,현금
너의 이름은,일반,이정숙,20,에이드,일반,구매 안함,신용 카드
너의 이름은,구매 안함,정서윤,30,제로 콜라,조조,구매 안함,삼성 페이
위시,일반,박영미,50,아메리카노,일반,나초,삼성 페이
위시,일반,강지원,30,에이드,조조,구매 안함,삼성 페이
웡카,구매 안함,이영식,30,사이다,일반,구매 안함,신용 카드
외계인,구매 안함,김은경,20,환타,일반,나초,현금
너의 이름은,일반,이민지,30,에이드,조조,나초,신용 카드
외계인,구매 안함,이민준,50,제로 콜라,심야,구매 안함,체크 카드
너의 이름은,치즈,김춘자,20,물,일반,구매 안함,삼성 페이
너의 이름은,어니언,최미경,30,제로 콜라,일반,구매 안함,현금
너의 이름은,구매 안함,황선영,30,콜라,심야,구매 안함,신용 카드
너의 이름은,일반,김현숙,40,에이드,일반,나초,신용 카드
도그맨,일반,이영자,40,사이다,일반,나초,신용 카드
웡카,구매 안함,강미숙,60,환타,일반,구매 안함,삼성 페이
웡카,구매 안함,김지민,50,에이드,조조,나초,삼성 페이
너의 이름은,치즈,김도현,40,콜라,일반,구매 안함,삼성 페이
외계인,구매 안함,강보람,50,물,일반,구매 안함,현금
외계인,일반,윤은정,20,사이다,일반,나초,신용 카드
웡카,구매 안함,이준서,20,에이드,일반,맛밤,삼성 페이
위시,구매 안함,김도윤,20,아메리카노,일반,구매 안함,신용 카드
시민 덕희,구매 안함,윤시우,30,물,일반,핫도그,신용 카드
웡카,카라멜,강현준,40,환타,심야,나초,삼성 페이
웡카,카라멜,홍정자,30,물,일반,구매 안함,삼성 페이
도그맨,카라멜,전영호,20,물,일반,핫도그,현금
웡카,일반,백정훈,20,에이드,일반,나초,삼성 페이
시민 덕희,일반,한우진,30,환타,심야,나초,신용 카드
웡카,어니언,손도윤,30,구매 안함,일반,구매 안함,삼성 페이
너의 이름은,일반,김도윤,50,물,일반,나초,삼성 페이
외계인,어니언,김서현,20,제로 콜라,일반,구매 안함,체크 카드
시민 덕희,일반,이미영,50,사이다,일반,구매 안함,삼성 페이
너의 이름은,치즈,성영숙,50,환타,일반,구매 안함,삼성 페이
웡카,구매 안함,양민수,20,구매 안함,심야,나초,체크 카드
웡카,일반,백아름,20,아메리카노,조조,구매 안함,체크 카드
외계인,구매 안함,최미경,20,콜라,일반,구매 안함,삼성 페이
도그맨,치즈,손성현,20,환타,일반,핫도그,체크 카드
시민 덕희,구매 안함,강상훈,30,물,일반,구매 안함,삼성 페이
위시,구매 안함,이은서,20,에이드,일반,구매 안함,신용 카드
웡카,치즈,홍은서,30,콜라,일반,구매 안함,삼성 페이
위시,치즈,이채원,40,물,일반,구매 안함,현금
너의 이름은,치즈,윤예은,30,물,일반,구매 안함,삼성 페이
너의 이름은,치즈,유영호,30,콜라,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,김지우,20,제로 콜라,일반,구매 안함,카카오 페이
도그맨,어니언,김광수,30,물,조조,구매 안함,체크 카드
시민 덕희,구매 안함,류성수,50,사이다,일반,구매 안함,삼성 페이
웡카,구매 안함,민상훈,40,구매 안함,일반,나초,신용 카드
웡카,카라멜,김건우,20,에이드,심야,오징어,신용 카드
웡카,구매 안함,이서준,40,아메리카노,일반,구매 안함,현금
도그맨,일반,이민석,30,아메리카노,일반,나초,삼성 페이
도그맨,구매 안함,김선영,40,제로 콜라,조조,구매 안함,삼성 페이
시민 덕희,어니언,문성호,20,물,일반,핫도그,신용 카드
웡카,일반,남성호,50,제로 콜라,일반,구매 안함,체크 카드
웡카,치즈,박민준,20,제로 콜라,일반,오징어,신용 카드
도그맨,카라멜,김민석,30,물,조조,구매 안함,체크 카드
시민 덕희,일반,박재호,20,콜라,조조,구매 안함,삼성 페이
시민 덕희,일반,이영환,40,제로 콜라,일반,구매 안함,삼성 페이
웡카,구매 안함,김정남,30,환타,일반,구매 안함,삼성 페이
너의 이름은,일반,김수진,50,물,일반,구매 안함,신용 카드
외계인,구매 안함,김은영,20,물,일반,구매 안함,삼성 페이
위시,구매 안함,홍도현,30,사이다,일반,오징어,삼성 페이
웡카,구매 안함,이정웅,20,제로 콜라,일반,나초,삼성 페이
시민 덕희,일반,전지민,20,제로 콜라,일반,구매 안함,삼성 페이
도그맨,구매 안함,박광수,30,제로 콜라,심야,핫도그,삼성 페이
웡카,구매 안함,조경숙,40,아메리카노,조조,나초,삼성 페이
외계인,어니언,배수진,60,환타,일반,구매 안함,삼성 페이
웡카,일반,신상철,30,제로 콜라,심야,나초,신용 카드
웡카,구매 안함,서성현,30,환타,일반,구매 안함,신용 카드
외계인,카라멜,이민수,20,아메리카노,일반,구매 안함,체크 카드
웡카,어니언,이승민,50,콜라,일반,구매 안함,신용 카드
웡카,구매 안함,오상현,60,물,일반,구매 안함,삼성 페이
시민 덕희,어니언,권서현,20,콜라,심야,구매 안함,삼성 페이
시민 덕희,일반,이윤서,40,구매 안함,일반,나초,삼성 페이
시민 덕희,구매 안함,김정웅,20,제로 콜라,조조,구매 안함,신용 카드
도그맨,치즈,김혜진,30,사이다,일반,나초,삼성 페이
너의 이름은,구매 안함,박하윤,20,에이드,일반,구매 안함,삼성 페이
도그맨,일반,김현우,30,물,일반,구매 안함,삼성 페이
위시,구매 안함,김준서,20,사이다,일반,구매 안함,체크 카드
웡카,구매 안함,남민지,30,콜라,일반,구매 안함,신용 카드
외계인,치즈,이성수,30,콜라,일반,구매 안함,삼성 페이
웡카,일반,이유진,30,구매 안함,일반,핫도그,삼성 페이
웡카,어니언,최현지,30,제로 콜라,일반,구매 안함,신용 카드
도그맨,카라멜,하미경,40,제로 콜라,일반,나초,삼성 페이
웡카,구매 안함,이영진,50,물,조조,구매 안함,삼성 페이
도그맨,일반,이현정,20,물,일반,구매 안함,삼성 페이
위시,카라멜,이민수,20,구매 안함,일반,구매 안함,신용 카드
외계인,카라멜,장정호,20,에이드,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,이민서,30,환타,일반,구매 안함,삼성 페이
외계인,구매 안함,나수빈,40,제로 콜라,일반,구매 안함,체크 카드
너의 이름은,구매 안함,박지훈,20,에이드,일반,나초,신용 카드
도그맨,카라멜,이영희,40,물,심야,나초,체크 카드
도그맨,구매 안함,김현지,30,물,일반,핫도그,체크 카드
시민 덕희,구매 안함,김영길,20,물,일반,맛밤,삼성 페이
웡카,카라멜,이준호,20,제로 콜라,조조,구매 안함,신용 카드
위시,구매 안함,신영환,40,콜라,일반,구매 안함,삼성 페이
웡카,일반,양명자,20,사이다,조조,구매 안함,신용 카드
시민 덕희,어니언,김종수,20,사이다,조조,구매 안함,삼성 페이
웡카,치즈,한동현,50,에이드,조조,나초,현금
너의 이름은,카라멜,이경숙,30,콜라,심야,구매 안함,삼성 페이
너의 이름은,구매 안함,김정순,20,에이드,일반,구매 안함,삼성 페이
웡카,구매 안함,강영수,20,물,심야,구매 안함,삼성 페이
웡카,치즈,손중수,20,물,조조,구매 안함,신용 카드
외계인,구매 안함,최예준,20,구매 안함,일반,구매 안함,삼성 페이
외계인,구매 안함,김준혁,20,제로 콜라,일반,맛밤,삼성 페이
웡카,일반,이도현,20,콜라,심야,구매 안함,삼성 페이
웡카,일반,박지혜,30,에이드,심야,나초,삼성 페이
웡카,일반,문지우,30,구매 안함,일반,핫도그,삼성 페이
도그맨,치즈,성준혁,40,사이다,일반,구매 안함,삼성 페이
웡카,치즈,김준영,50,물,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,윤영환,50,에이드,일반,맛밤,신용 카드
시민 덕희,구매 안함,김현정,20,환타,일반,구매 안함,삼성 페이
외계인,치즈,이지원,60,콜라,일반,나초,삼성 페이
위시,구매 안함,강정순,20,환타,일반,핫도그,신용 카드
시민 덕희,치즈,유민지,20,물,조조,구매 안함,삼성 페이
위시,일반,김상철,20,물,일반,구매 안함,삼성 페이
웡카,어니언,김지현,50,아메리카노,일반,구매 안함,신용 카드
웡카,치즈,장지후,50,환타,일반,핫도그,신용 카드
시민 덕희,구매 안함,김미경,20,환타,일반,핫도그,삼성 페이
너의 이름은,치즈,박춘자,40,제로 콜라,심야,구매 안함,체크 카드
시민 덕희,카라멜,강서현,20,물,조조,구매 안함,신용 카드
시민 덕희,구매 안함,이영수,20,구매 안함,조조,구매 안함,삼성 페이
시민 덕희,일반,박정훈,20,콜라,일반,나초,체크 카드
도그맨,구매 안함,김서연,30,구매 안함,일반,구매 안함,삼성 페이
웡카,일반,김은서,50,제로 콜라,조조,구매 안함,삼성 페이
너의 이름은,구매 안함,김광수,40,사이다,일반,구매 안함,삼성 페이
너의 이름은,어니언,최지훈,30,사이다,심야,핫도그,삼성 페이
웡카,일반,최지영,30,구매 안함,일반,나초,삼성 페이
도그맨,일반,이성호,30,구매 안함,조조,구매 안함,신용 카드
웡카,구매 안함,이우진,30,물,일반,핫도그,신용 카드
너의 이름은,일반,조미경,20,물,일반,구매 안함,삼성 페이
시민 덕희,카라멜,박미경,20,환타,조조,맛밤,삼성 페이
도그맨,구매 안함,남광수,30,콜라,일반,구매 안함,삼성 페이
너의 이름은,구매 안함,김보람,50,제로 콜라,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,배경수,20,제로 콜라,일반,구매 안함,삼성 페이
웡카,카라멜,박영식,20,물,일반,핫도그,삼성 페이
웡카,구매 안함,강정희,30,물,일반,구매 안함,카카오 페이
시민 덕희,구매 안함,김하은,20,에이드,일반,핫도그,삼성 페이
위시,일반,김도윤,40,물,일반,구매 안함,삼성 페이
시민 덕희,어니언,김보람,60,물,일반,나초,카카오 페이
도그맨,치즈,이선영,30,사이다,심야,구매 안함,신용 카드
도그맨,치즈,김진호,40,사이다,일반,구매 안함,삼성 페이
웡카,치즈,김준호,50,제로 콜라,일반,나초,삼성 페이
웡카,일반,최예지,50,제로 콜라,일반,구매 안함,신용 카드
시민 덕희,구매 안함,이유진,60,에이드,일반,오징어,삼성 페이
너의 이름은,카라멜,홍성진,30,물,일반,구매 안함,삼성 페이
시민 덕희,치즈,이지훈,20,에이드,조조,구매 안함,체크 카드
웡카,구매 안함,서광수,30,사이다,일반,오징어,신용 카드
웡카,카라멜,최서영,60,에이드,일반,오징어,신용 카드
위시,구매 안함,황지훈,30,제로 콜라,일반,구매 안함,현금
시민 덕희,카라멜,이민지,40,제로 콜라,조조,나초,삼성 페이
웡카,일반,배상현,30,콜라,심야,나초,삼성 페이
시민 덕희,구매 안함,최정수,40,에이드,일반,구매 안함,삼성 페이
시민 덕희,일반,김은영,30,물,일반,구매 안함,신용 카드
시민 덕희,일반,최준영,30,구매 안함,일반,구매 안함,삼성 페이
웡카,어니언,김중수,20,아메리카노,일반,나초,삼성 페이
웡카,구매 안함,양우진,20,에이드,조조,나초,신용 카드
외계인,어니언,이영식,60,물,일반,구매 안함,현금
외계인,구매 안함,한중수,60,에이드,조조,나초,신용 카드
시민 덕희,구매 안함,김정식,20,제로 콜라,일반,핫도그,신용 카드
너의 이름은,구매 안함,박영길,20,에이드,조조,구매 안함,신용 카드
웡카,일반,최도현,20,에이드,일반,구매 안함,신용 카드
웡카,일반,김건우,20,구매 안함,조조,구매 안함,신용 카드
웡카,구매 안함,이종수,30,물,일반,구매 안함,현금
시민 덕희,일반,백미숙,30,제로 콜라,일반,구매 안함,카카오 페이
웡카,구매 안함,이진우,30,사이다,일반,구매 안함,삼성 페이
위시,구매 안함,이지우,20,구매 안함,일반,구매 안함,현금
시민 덕희,카라멜,김예은,30,구매 안함,일반,나초,삼성 페이
웡카,구매 안함,김정훈,40,환타,일반,구매 안함,삼성 페이
도그맨,어니언,박영진,30,사이다,일반,구매 안함,삼성 페이
웡카,구매 안함,이영순,30,제로 콜라,일반,나초,삼성 페이
시민 덕희,카라멜,주지민,20,사이다,일반,구매 안함,체크 카드
웡카,구매 안함,김정자,20,아메리카노,일반,구매 안함,신용 카드
웡카,치즈,김미경,30,물,조조,구매 안함,삼성 페이
너의 이름은,치즈,장춘자,30,아메리카노,조조,구매 안함,체크 카드
웡카,어니언,한도현,40,제로 콜라,일반,구매 안함,삼성 페이
위시,어니언,김민서,20,물,일반,구매 안함,현금
도그맨,구매 안함,한지아,20,콜라,일반,구매 안함,삼성 페이
너의 이름은,구매 안함,박아름,40,물,조조,나초,삼성 페이
시민 덕희,구매 안함,윤서현,40,환타,조조,구매 안함,삼성 페이
웡카,구매 안함,김서연,30,물,일반,구매 안함,삼성 페이
외계인,치즈,김옥자,30,물,일반,구매 안함,체크 카드
위시,구매 안함,이정식,50,아메리카노,조조,구매 안함,삼성 페이
웡카,구매 안함,김은지,20,제로 콜라,일반,구매 안함,카카오 페이
도그맨,구매 안함,안현지,20,환타,일반,구매 안함,신용 카드
시민 덕희,일반,백정호,20,콜라,일반,구매 안함,신용 카드
웡카,어니언,김정훈,30,콜라,심야,구매 안함,삼성 페이
시민 덕희,카라멜,조지아,20,에이드,일반,나초,삼성 페이
웡카,어니언,주은정,30,환타,일반,나초,삼성 페이
웡카,일반,이지은,30,에이드,일반,나초,신용 카드
외계인,카라멜,윤예진,40,에이드,일반,구매 안함,카카오 페이
웡카,구매 안함,이준영,20,콜라,일반,나초,삼성 페이
웡카,구매 안함,김준영,60,구매 안함,일반,구매 안함,삼성 페이
웡카,카라멜,이옥자,20,구매 안함,일반,구매 안함,현금
시민 덕희,일반,김지원,20,구매 안함,일반,나초,현금
시민 덕희,어니언,황예준,40,환타,일반,구매 안함,삼성 페이
도그맨,카라멜,오서준,60,콜라,일반,핫도그,카카오 페이
위시,구매 안함,곽춘자,40,환타,일반,맛밤,신용 카드
웡카,카라멜,나성훈,20,환타,일반,구매 안함,신용 카드
위시,어니언,박상훈,20,에이드,조조,구매 안함,삼성 페이
시민 덕희,구매 안함,이예지,20,사이다,조조,구매 안함,삼성 페이
시민 덕희,일반,서정숙,30,콜라,일반,구매 안함,체크 카드
외계인,일반,이경수,50,구매 안함,심야,구매 안함,삼성 페이
도그맨,구매 안함,김은정,30,콜라,일반,구매 안함,삼성 페이
외계인,구매 안함,송준영,30,제로 콜라,일반,구매 안함,삼성 페이
너의 이름은,구매 안함,최성민,30,콜라,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,박상호,30,환타,일반,맛밤,체크 카드
위시,일반,김정자,20,제로 콜라,일반,구매 안함,신용 카드
외계인,구매 안함,김준호,30,제로 콜라,일반,핫도그,현금
외계인,구매 안함,박경숙,20,물,일반,구매 안함,체크 카드
웡카,카라멜,홍현준,30,환타,일반,구매 안함,신용 카드
도그맨,일반,문예지,20,사이다,일반,맛밤,삼성 페이
시민 덕희,카라멜,최민준,30,콜라,일반,구매 안함,신용 카드
웡카,구매 안함,김예진,30,구매 안함,일반,구매 안함,삼성 페이
외계인,카라멜,이보람,30,제로 콜라,일반,구매 안함,삼성 페이
외계인,치즈,서미경,30,물,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,신현우,30,물,조조,나초,삼성 페이
웡카,구매 안함,강하윤,20,제로 콜라,일반,나초,삼성 페이
웡카,일반,박영호,30,구매 안함,일반,구매 안함,체크 카드
시민 덕희,구매 안함,이서영,50,사이다,일반,구매 안함,삼성 페이
시민 덕희,일반,황건우,20,사이다,일반,나초,신용 카드
도그맨,일반,구서현,20,제로 콜라,일반,구매 안함,신용 카드
시민 덕희,어니언,권시우,40,사이다,일반,나초,체크 카드
외계인,구매 안함,서민재,50,물,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,장주원,20,에이드,일반,구매 안함,삼성 페이
시민 덕희,구매 안함,안은경,20,구매 안함,일반,구매 안함,신용 카드
외계인,구매 안함,김승현,50,사이다,조조,구매 안함,삼성 페이
도그맨,구매 안함,이정숙,30,제로 콜라,심야,구매 안함,삼성 페이
시민 덕희,구매 안함,이민지,30,에이드,일반,구매 안함,삼성 페이
웡카,구매 안함,김준서,30,물,일반,구매 안함,현금
시민 덕희,구매 안함,김영환,20,아메리카노,일반,나초,삼성 페이
웡카,치즈,박지민,30,콜라,일반,구매 안함,신용 카드
도그맨,구매 안함,안영길,20,콜라,일반,구매 안함,신용 카드
웡카,구매 안함,장미영,20,물,일반,구매 안함,신용 카드
시민 덕희,일반,한옥순,30,물,일반,구매 안함,삼성 페이
웡카,카라멜,이건우,30,제로 콜라,일반,구매 안함,삼성 페이
웡카,구매 안함,전혜진,20,구매 안함,조조,구매 안함,삼성 페이
외계인,구매 안함,안동현,30,제로 콜라,일반,나초,삼성 페이
시민 덕희,일반,박영숙,30,에이드,조조,구매 안함,삼성 페이
웡카,구매 안함,김영희,40,물,일반,구매 안함,현금
웡카,구매 안함,한영진,20,사이다,일반,구매 안함,삼성 페이
웡카,구매 안함,주성진,40,사이다,일반,구매 안함,카카오 페이
시민 덕희,구매 안함,문도윤,40,에이드,일반,구매 안함,신용 카드
시민 덕희,카라멜,김은경,30,사이다,일반,핫도그,신용 카드
웡카,일반,강지현,30,환타,일반,구매 안함,신용 카드
웡카,구매 안함,박지후,40,사이다,일반,구매 안함,삼성 페이
웡카,일반,김성진,30,물,일반,구매 안함,삼성 페이
외계인,구매 안함,노지훈,30,제로 콜라,일반,구매 안함,삼성 페이
웡카,치즈,김경수,20,콜라,조조,핫도그,삼성 페이
웡카,구매 안함,김현정,20,제로 콜라,조조,구매 안함,신용 카드
도그맨,구매 안함,박정훈,30,아메리카노,조조,구매 안함,체크 카드
웡카,일반,서은주,20,콜라,조조,맛밤,삼성 페이
위시,구매 안함,윤상철,50,환타,일반,구매 안함,삼성 페이
시민 덕희,치즈,신정수,30,사이다,일반,핫도그,삼성 페이
웡카,일반,이지원,40,제로 콜라,조조,나초,삼성 페이
웡카,치즈,김성민,20,물,일반,맛밤,삼성 페이
도그맨,구매 안함,박영호,20,에이드,조조,구매 안함,신용 카드
외계인,구매 안함,심재호,20,사이다,일반,오징어,삼성 페이
웡카,치즈,배영진,20,물,심야,구매 안함,신용 카드
웡카,구매 안함,박경자,50,물,조조,구매 안함,삼성 페이
시민 덕희,구매 안함,김영식,60,제로 콜라,일반,나초,삼성 페이
도그맨,치즈,정정훈,60,콜라,일반,구매 안함,신용 카드
도그맨,일반,김현숙,20,구매 안함,일반,핫도그,삼성 페이
